Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-08 13:30:00+00:00,256.5299987792969,258.19000244140625,256.1099853515625,257.8399963378906,8459277,222.94500732421875,223.47999572753906,221.19000244140625,223.18499755859375,9677112,1197.1099853515625,1210.780029296875,1192.0,1207.31005859375,746771,713.510009765625,716.3099975585938,707.8099975585938,713.375,2928898,246.25,247.19000244140625,245.08999633789062,246.87759399414062,2982100
2025-10-08 14:30:00+00:00,257.8599853515625,258.4549865722656,257.20001220703125,258.0400085449219,4427277,223.1699981689453,224.3699951171875,223.08999633789062,223.97999572753906,5512152,1207.5174560546875,1209.5,1201.469970703125,1206.81005859375,304303,713.5599975585938,718.2498779296875,713.4099731445312,717.4299926757812,1301633,246.85000610351562,247.25999450683594,245.3000946044922,246.35000610351562,1546167
2025-10-08 15:30:00+00:00,258.05499267578125,258.5199890136719,257.55999755859375,258.20001220703125,2832234,223.97000122070312,225.16000366210938,223.76499938964844,225.02999877929688,4699488,1207.469970703125,1213.4599609375,1206.5201416015625,1211.449951171875,246095,717.39501953125,718.3699951171875,715.0,716.232177734375,906102,246.35499572753906,246.6199951171875,245.85000610351562,246.07000732421875,1334538
2025-10-08 16:30:00+00:00,258.19000244140625,258.32501220703125,257.625,257.92498779296875,2099955,225.02000427246094,225.88999938964844,224.36000061035156,225.87669372558594,4541566,1211.280029296875,1212.8199462890625,1209.530029296875,1211.25,159531,716.0800170898438,717.6099243164062,714.4600219726562,717.4348754882812,865509,246.0399932861328,246.10000610351562,245.1699981689453,245.86000061035156,1085121
2025-10-08 17:30:00+00:00,257.92498779296875,258.20001220703125,257.6499938964844,257.9150085449219,2280625,225.86000061035156,226.72999572753906,225.52000427246094,226.61000061035156,4973938,1211.25,1214.300048828125,1210.3299560546875,1210.7208251953125,292542,717.5700073242188,719.6500244140625,717.2100219726562,717.8400268554688,1208410,245.8612060546875,246.17999267578125,245.3249969482422,245.63499450683594,979080
2025-10-08 18:30:00+00:00,257.8999938964844,258.42999267578125,257.739990234375,258.25,2564469,226.6199951171875,226.67999267578125,224.5449981689453,225.39999389648438,6431931,1211.1099853515625,1213.300048828125,1210.5999755859375,1212.9150390625,148260,717.885009765625,719.4400024414062,716.7100219726562,719.0900268554688,869803,245.64999389648438,246.0500030517578,245.42999267578125,245.76499938964844,1363197
2025-10-08 19:30:00+00:00,258.239990234375,258.489990234375,257.8800048828125,258.0299987792969,4214118,225.39500427246094,225.61990356445312,224.82000732421875,225.1999969482422,5687049,1212.9100341796875,1217.0,1211.719970703125,1214.260009765625,470143,719.1199951171875,719.409912109375,716.6300048828125,717.8300170898438,1026452,245.74000549316406,245.96499633789062,245.14999389648438,245.4949951171875,1771672
2025-10-09 13:30:00+00:00,257.3299865722656,257.3599853515625,254.8090057373047,254.97999572753906,8612385,224.00999450683594,224.06500244140625,221.8699951171875,222.6999969482422,10710625,1213.1300048828125,1232.114990234375,1212.56005859375,1229.93994140625,803095,718.5399780273438,719.989990234375,713.27001953125,719.6900024414062,2955374,244.5800018310547,244.85000610351562,242.10000610351562,242.41000366210938,5015274
